Pedigree	Year	Loc	Pass	Trait	Value	Coded_Trait	Pop	Gen	Range	Env
Mo17	2017	1	33	FUELA	62.01633333	3	3	2	7	2017_Loc1
Mo17	2017	1	33	MLA	54.49166667	4	3	2	7	2017_Loc1
Mo17	2017	1	33	TUELA	60.74288889	2	3	2	7	2017_Loc1
Mo17	2017	1	33	ULA	59.02544444	1	3	2	7	2017_Loc1
PHW30	2017	1	42	FUELA	78.79644444	3	3	3	7	2017_Loc1
PHW30	2017	1	42	MLA	75.1022	4	3	3	7	2017_Loc1
PHW30	2017	1	42	TUELA	80.96877778	2	3	3	7	2017_Loc1
PHW30	2017	1	42	ULA	71.23966667	1	3	3	7	2017_Loc1
B73	2017	1	47	FUELA	70.89355556	3	3	1	7	2017_Loc1
B73	2017	1	47	MLA	63.85788889	4	3	1	7	2017_Loc1
B73	2017	1	47	TUELA	75.33244444	2	3	1	7	2017_Loc1
B73	2017	1	47	ULA	79.28033333	1	3	1	7	2017_Loc1
B73	2017	1	41	FUELA	69.85933333	3	3	1	8	2017_Loc1
B73	2017	1	41	MLA	59.88411111	4	3	1	8	2017_Loc1
B73	2017	1	41	TUELA	71.54677778	2	3	1	8	2017_Loc1
B73	2017	1	41	ULA	79.06977778	1	3	1	8	2017_Loc1
Mo17	2017	1	34	FUELA	62.862	3	3	2	8	2017_Loc1
Mo17	2017	1	34	MLA	48.28466667	4	3	2	8	2017_Loc1
Mo17	2017	1	34	TUELA	57.32516667	2	3	2	8	2017_Loc1
Mo17	2017	1	34	ULA	59.14766667	1	3	2	8	2017_Loc1
PHW30	2017	1	30	FUELA	77.63183333	3	3	3	8	2017_Loc1
PHW30	2017	1	30	MLA	74.6175	4	3	3	8	2017_Loc1
PHW30	2017	1	30	TUELA	77.66233333	2	3	3	8	2017_Loc1
PHW30	2017	1	30	ULA	74.63266667	1	3	3	8	2017_Loc1
Mo17	2017	1	11	FUELA	61.734	3	3	2	9	2017_Loc1
Mo17	2017	1	11	MLA	61.65616667	4	3	2	9	2017_Loc1
Mo17	2017	1	11	TUELA	59.57416667	2	3	2	9	2017_Loc1
Mo17	2017	1	11	ULA	56.76016667	1	3	2	9	2017_Loc1
B73	2017	1	17	FUELA	70.10033333	3	3	1	9	2017_Loc1
B73	2017	1	17	MLA	66.33533333	4	3	1	9	2017_Loc1
B73	2017	1	17	TUELA	75.751	2	3	1	9	2017_Loc1
B73	2017	1	17	ULA	80.00666667	1	3	1	9	2017_Loc1
PHW30	2017	1	21	FUELA	75.166	3	3	3	9	2017_Loc1
PHW30	2017	1	21	MLA	72.51566667	4	3	3	9	2017_Loc1
PHW30	2017	1	21	TUELA	73.5165	2	3	3	9	2017_Loc1
PHW30	2017	1	21	ULA	80.07383333	1	3	3	9	2017_Loc1
Mo17	2017	2	5	FUELA	63.36033333	3	3	2	1	2017_Loc2
Mo17	2017	2	5	MLA	53.95833333	4	3	2	1	2017_Loc2
Mo17	2017	2	5	TUELA	59.35266667	2	3	2	1	2017_Loc2
Mo17	2017	2	5	ULA	50.72633333	1	3	2	1	2017_Loc2
B73	2017	2	12	FUELA	73.3415	3	3	1	1	2017_Loc2
B73	2017	2	12	MLA	67.67116667	4	3	1	1	2017_Loc2
B73	2017	2	12	TUELA	78.51766667	2	3	1	1	2017_Loc2
B73	2017	2	12	ULA	80.058	1	3	1	1	2017_Loc2
PHW30	2017	2	29	FUELA	80.7335	3	3	3	1	2017_Loc2
PHW30	2017	2	29	MLA	77.99216667	4	3	3	1	2017_Loc2
PHW30	2017	2	29	TUELA	83.84883333	2	3	3	1	2017_Loc2
PHW30	2017	2	29	ULA	77.50816667	1	3	3	1	2017_Loc2
PHW30	2017	2	35	FUELA	80.2995	3	3	3	2	2017_Loc2
PHW30	2017	2	35	MLA	73.44166667	4	3	3	2	2017_Loc2
PHW30	2017	2	35	TUELA	82.16616667	2	3	3	2	2017_Loc2
PHW30	2017	2	35	ULA	77.09333333	1	3	3	2	2017_Loc2
Mo17	2017	2	22	FUELA	59.605	3	3	2	2	2017_Loc2
Mo17	2017	2	22	MLA	53.58283333	4	3	2	2	2017_Loc2
Mo17	2017	2	22	TUELA	62.16383333	2	3	2	2	2017_Loc2
Mo17	2017	2	22	ULA	54.42383333	1	3	2	2	2017_Loc2
B73	2017	2	20	FUELA	74.37116667	3	3	1	2	2017_Loc2
B73	2017	2	20	MLA	63.19	4	3	1	2	2017_Loc2
B73	2017	2	20	TUELA	77.22616667	2	3	1	2	2017_Loc2
B73	2017	2	20	ULA	79.54433333	1	3	1	2	2017_Loc2
PHW30	2017	2	17	FUELA	79.95083333	3	3	3	3	2017_Loc2
PHW30	2017	2	17	MLA	75.53266667	4	3	3	3	2017_Loc2
PHW30	2017	2	17	TUELA	84.203	2	3	3	3	2017_Loc2
PHW30	2017	2	17	ULA	75.57066667	1	3	3	3	2017_Loc2
Mo17	2017	2	22	FUELA	52.58966667	3	3	2	3	2017_Loc2
Mo17	2017	2	22	MLA	50.20583333	4	3	2	3	2017_Loc2
Mo17	2017	2	22	TUELA	55.934	2	3	2	3	2017_Loc2
Mo17	2017	2	22	ULA	49.77333333	1	3	2	3	2017_Loc2
