RecId	Trait	Loc	LA	PedId	Loc Seq#	Experiment	Entry	Pass	Range	Source	Pedigree	Notes
4085827	FUELA	1	74.91066666666666	3229177	27	MD-OBS1	27	31	2	15WJMY:Dziev:0113	B73/PHW30-256 - (2n)-01	NA
4085827	MLA	1	70.17966666666666	3229177	27	MD-OBS1	27	31	2	15WJMY:Dziev:0113	B73/PHW30-256 - (2n)-01	NA
4085827	TUELA	1	80.97666666666666	3229177	27	MD-OBS1	27	31	2	15WJMY:Dziev:0113	B73/PHW30-256 - (2n)-01	NA
4085827	ULA	1	84.39833333333334	3229177	27	MD-OBS1	27	31	2	15WJMY:Dziev:0113	B73/PHW30-256 - (2n)-01	NA
4085828	FUELA	1	79.24633333333334	3229329	28	MD-OBS1	28	32	2	15WJMY:Dziev:0272	Mo17/PHW30-016 - (2n)-02	NA
4085828	MLA	1	78.46499999999999	3229329	28	MD-OBS1	28	32	2	15WJMY:Dziev:0272	Mo17/PHW30-016 - (2n)-02	NA
4085828	TUELA	1	76.67333333333333	3229329	28	MD-OBS1	28	32	2	15WJMY:Dziev:0272	Mo17/PHW30-016 - (2n)-02	NA
4085828	ULA	1	67.87566666666667	3229329	28	MD-OBS1	28	32	2	15WJMY:Dziev:0272	Mo17/PHW30-016 - (2n)-02	NA
4085829	FUELA	1	67.069	3226197	29	MD-OBS1	29	33	2	15WJMY:Dziev:0033	PHW30/B73-326 - (2n)-02	NA
4085829	MLA	1	60.492999999999995	3226197	29	MD-OBS1	29	33	2	15WJMY:Dziev:0033	PHW30/B73-326 - (2n)-02	NA
4085829	TUELA	1	76.21166666666667	3226197	29	MD-OBS1	29	33	2	15WJMY:Dziev:0033	PHW30/B73-326 - (2n)-02	NA
4085829	ULA	1	79.898	3226197	29	MD-OBS1	29	33	2	15WJMY:Dziev:0033	PHW30/B73-326 - (2n)-02	NA
4085830	FUELA	1	77.00466666666667	3396170	30	MD-OBS1	30	34	2	16SJMY:16S:J:0020	PHW30	NA
4085830	MLA	1	73.92166666666667	3396170	30	MD-OBS1	30	34	2	16SJMY:16S:J:0020	PHW30	NA
4085830	TUELA	1	79.91266666666667	3396170	30	MD-OBS1	30	34	2	16SJMY:16S:J:0020	PHW30	NA
4085830	ULA	1	73.86233333333332	3396170	30	MD-OBS1	30	34	2	16SJMY:16S:J:0020	PHW30	NA
4085831	FUELA	1	69.85466666666667	3229196	31	MD-OBS1	31	35	2	15WJMY:Dziev:0135	PHW30/Mo17-139 - (2n)-02	NA
4085831	MLA	1	68.53566666666667	3229196	31	MD-OBS1	31	35	2	15WJMY:Dziev:0135	PHW30/Mo17-139 - (2n)-02	NA
4085831	TUELA	1	66.01133333333333	3229196	31	MD-OBS1	31	35	2	15WJMY:Dziev:0135	PHW30/Mo17-139 - (2n)-02	NA
4085831	ULA	1	49.165	3229196	31	MD-OBS1	31	35	2	15WJMY:Dziev:0135	PHW30/Mo17-139 - (2n)-02	NA
4085832	FUELA	1	66.97766666666666	3226191	32	MD-OBS1	32	36	2	15WJMY:Dziev:0027	PHW30/B73-287 - (2n)-02	NA
4085832	MLA	1	68.613	3226191	32	MD-OBS1	32	36	2	15WJMY:Dziev:0027	PHW30/B73-287 - (2n)-02	NA
4085832	TUELA	1	73.39533333333333	3226191	32	MD-OBS1	32	36	2	15WJMY:Dziev:0027	PHW30/B73-287 - (2n)-02	NA
4085832	ULA	1	72.518	3226191	32	MD-OBS1	32	36	2	15WJMY:Dziev:0027	PHW30/B73-287 - (2n)-02	NA
4085833	FUELA	1	71.05633333333333	3226170	33	MD-OBS1	33	36	3	15WJMY:Dziev:0005	PHW30/B73-066 - (2n)-02	NA
4085833	MLA	1	61.684666666666665	3226170	33	MD-OBS1	33	36	3	15WJMY:Dziev:0005	PHW30/B73-066 - (2n)-02	NA
4085833	TUELA	1	70.76266666666666	3226170	33	MD-OBS1	33	36	3	15WJMY:Dziev:0005	PHW30/B73-066 - (2n)-02	NA
4085833	ULA	1	75.412	3226170	33	MD-OBS1	33	36	3	15WJMY:Dziev:0005	PHW30/B73-066 - (2n)-02	NA
4085834	FUELA	1	69.38933333333334	3156961	34	MD-OBS1	34	35	3	15WJMY:Dziev:0044 (2015 GH)	Mo17/PHW30-089 - (2n)-02	NA
4085834	MLA	1	73.01866666666666	3156961	34	MD-OBS1	34	35	3	15WJMY:Dziev:0044 (2015 GH)	Mo17/PHW30-089 - (2n)-02	NA
4085834	TUELA	1	66.62466666666667	3156961	34	MD-OBS1	34	35	3	15WJMY:Dziev:0044 (2015 GH)	Mo17/PHW30-089 - (2n)-02	NA
4085834	ULA	1	63.861666666666665	3156961	34	MD-OBS1	34	35	3	15WJMY:Dziev:0044 (2015 GH)	Mo17/PHW30-089 - (2n)-02	NA
4085835	FUELA	1	77.26566666666666	3229295	35	MD-OBS1	35	34	3	15WJMY:Dziev:0237	Mo17/PHW30-321 - (2n)-01	NA
4085835	MLA	1	72.84333333333333	3229295	35	MD-OBS1	35	34	3	15WJMY:Dziev:0237	Mo17/PHW30-321 - (2n)-01	NA
4085835	TUELA	1	77.583	3229295	35	MD-OBS1	35	34	3	15WJMY:Dziev:0237	Mo17/PHW30-321 - (2n)-01	NA
4085835	ULA	1	73.48666666666666	3229295	35	MD-OBS1	35	34	3	15WJMY:Dziev:0237	Mo17/PHW30-321 - (2n)-01	NA
4085836	FUELA	1	70.64033333333333	3229352	36	MD-OBS1	36	33	3	15WJMY:Dziev:0296	Mo17/PHW30-332 - (2n)-01	NA
4085836	MLA	1	63.757999999999996	3229352	36	MD-OBS1	36	33	3	15WJMY:Dziev:0296	Mo17/PHW30-332 - (2n)-01	NA
4085836	TUELA	1	73.473	3229352	36	MD-OBS1	36	33	3	15WJMY:Dziev:0296	Mo17/PHW30-332 - (2n)-01	NA
4085836	ULA	1	73.75233333333333	3229352	36	MD-OBS1	36	33	3	15WJMY:Dziev:0296	Mo17/PHW30-332 - (2n)-01	NA
4085837	FUELA	1	68.92233333333333	3229120	37	MD-OBS1	37	32	3	15WJMY:Dziev:0056	PHW30/B73-289 - (2n)-01	NA
4085837	MLA	1	63.202	3229120	37	MD-OBS1	37	32	3	15WJMY:Dziev:0056	PHW30/B73-289 - (2n)-01	NA
4085837	TUELA	1	70.614	3229120	37	MD-OBS1	37	32	3	15WJMY:Dziev:0056	PHW30/B73-289 - (2n)-01	NA
4085837	ULA	1	72.62333333333333	3229120	37	MD-OBS1	37	32	3	15WJMY:Dziev:0056	PHW30/B73-289 - (2n)-01	NA
4085838	FUELA	1	72.95633333333333	3229254	38	MD-OBS1	38	31	3	15WJMY:Dziev:0196	PHW30/Mo17-054 - (2n)-02	NA
4085838	MLA	1	72.94966666666666	3229254	38	MD-OBS1	38	31	3	15WJMY:Dziev:0196	PHW30/Mo17-054 - (2n)-02	NA
4085838	TUELA	1	79.06266666666667	3229254	38	MD-OBS1	38	31	3	15WJMY:Dziev:0196	PHW30/Mo17-054 - (2n)-02	NA
4085838	ULA	1	76.944	3229254	38	MD-OBS1	38	31	3	15WJMY:Dziev:0196	PHW30/Mo17-054 - (2n)-02	NA
4085839	FUELA	1	74.26066666666667	3226194	39	MD-OBS1	39	30	3	15WJMY:Dziev:0030	PHW30/B73-311 - (2n)-02	NA
4085839	MLA	1	72.67633333333333	3226194	39	MD-OBS1	39	30	3	15WJMY:Dziev:0030	PHW30/B73-311 - (2n)-02	NA
4085839	TUELA	1	74.92166666666667	3226194	39	MD-OBS1	39	30	3	15WJMY:Dziev:0030	PHW30/B73-311 - (2n)-02	NA
4085839	ULA	1	80.45333333333333	3226194	39	MD-OBS1	39	30	3	15WJMY:Dziev:0030	PHW30/B73-311 - (2n)-02	NA
4085840	FUELA	1	75.97366666666667	3229174	40	MD-OBS1	40	29	3	15WJMY:Dziev:0110	B73/PHW30-163 - (2n)-02	NA
4085840	MLA	1	71.494	3229174	40	MD-OBS1	40	29	3	15WJMY:Dziev:0110	B73/PHW30-163 - (2n)-02	NA
4085840	TUELA	1	77.22466666666666	3229174	40	MD-OBS1	40	29	3	15WJMY:Dziev:0110	B73/PHW30-163 - (2n)-02	NA
4085840	ULA	1	75.41	3229174	40	MD-OBS1	40	29	3	15WJMY:Dziev:0110	B73/PHW30-163 - (2n)-02	NA
4085841	FUELA	1	78.97	3229113	41	MD-OBS1	41	28	3	15WJMY:Dziev:0049	PHW30/B73-097 - (2n)-02	NA
4085841	MLA	1	76.167	3229113	41	MD-OBS1	41	28	3	15WJMY:Dziev:0049	PHW30/B73-097 - (2n)-02	NA
4085841	TUELA	1	83.182	3229113	41	MD-OBS1	41	28	3	15WJMY:Dziev:0049	PHW30/B73-097 - (2n)-02	NA
4085841	ULA	1	83.16933333333333	3229113	41	MD-OBS1	41	28	3	15WJMY:Dziev:0049	PHW30/B73-097 - (2n)-02	NA
4085842	FUELA	1	74.42966666666666	3229122	42	MD-OBS1	42	27	3	15WJMY:Dziev:0058	PHW30/B73-355 - (2n)-01	NA
4085842	MLA	1	73.82466666666666	3229122	42	MD-OBS1	42	27	3	15WJMY:Dziev:0058	PHW30/B73-355 - (2n)-01	NA
4085842	TUELA	1	74.94433333333333	3229122	42	MD-OBS1	42	27	3	15WJMY:Dziev:0058	PHW30/B73-355 - (2n)-01	NA
4085842	ULA	1	75.17033333333333	3229122	42	MD-OBS1	42	27	3	15WJMY:Dziev:0058	PHW30/B73-355 - (2n)-01	NA
4085843	FUELA	1	74.113	3229242	43	MD-OBS1	43	26	3	15WJMY:Dziev:0184	PHW30/Mo17-028 - (2n)-02	NA
4085843	MLA	1	78.80499999999999	3229242	43	MD-OBS1	43	26	3	15WJMY:Dziev:0184	PHW30/Mo17-028 - (2n)-02	NA
4085843	TUELA	1	73.699	3229242	43	MD-OBS1	43	26	3	15WJMY:Dziev:0184	PHW30/Mo17-028 - (2n)-02	NA
4085843	ULA	1	67.56866666666666	3229242	43	MD-OBS1	43	26	3	15WJMY:Dziev:0184	PHW30/Mo17-028 - (2n)-02	NA
4085844	FUELA	1	74.62566666666667	3226172	44	MD-OBS1	44	25	3	15WJMY:Dziev:0007	PHW30/B73-161 - (2n)-01	NA
4085844	MLA	1	72.18466666666666	3226172	44	MD-OBS1	44	25	3	15WJMY:Dziev:0007	PHW30/B73-161 - (2n)-01	NA
4085844	TUELA	1	76.122	3226172	44	MD-OBS1	44	25	3	15WJMY:Dziev:0007	PHW30/B73-161 - (2n)-01	NA
4085844	ULA	1	67.30433333333333	3226172	44	MD-OBS1	44	25	3	15WJMY:Dziev:0007	PHW30/B73-161 - (2n)-01	NA
4085845	FUELA	1	72.614	3226199	45	MD-OBS1	45	24	3	15WJMY:Dziev:0035	PHW30/B73-341 - (2n)-02	NA
4085845	MLA	1	67.48766666666667	3226199	45	MD-OBS1	45	24	3	15WJMY:Dziev:0035	PHW30/B73-341 - (2n)-02	NA
4085845	TUELA	1	68.562	3226199	45	MD-OBS1	45	24	3	15WJMY:Dziev:0035	PHW30/B73-341 - (2n)-02	NA
4085845	ULA	1	58.201	3226199	45	MD-OBS1	45	24	3	15WJMY:Dziev:0035	PHW30/B73-341 - (2n)-02	NA
4085846	FUELA	1	75.584	3229225	46	MD-OBS1	46	23	3	15WJMY:Dziev:0165	PHW30/Mo17-157 - (2n)-02	NA
4085846	MLA	1	74.541	3229225	46	MD-OBS1	46	23	3	15WJMY:Dziev:0165	PHW30/Mo17-157 - (2n)-02	NA
4085846	TUELA	1	74.22233333333334	3229225	46	MD-OBS1	46	23	3	15WJMY:Dziev:0165	PHW30/Mo17-157 - (2n)-02	NA
4085846	ULA	1	66.203	3229225	46	MD-OBS1	46	23	3	15WJMY:Dziev:0165	PHW30/Mo17-157 - (2n)-02	NA
4085847	FUELA	1	80.05666666666667	3396170	47	MD-OBS1	47	22	3	16SJMY:16S:J:0020	PHW30	NA
4085847	MLA	1	75.324	3396170	47	MD-OBS1	47	22	3	16SJMY:16S:J:0020	PHW30	NA
4085847	TUELA	1	78.47766666666666	3396170	47	MD-OBS1	47	22	3	16SJMY:16S:J:0020	PHW30	NA
4085847	ULA	1	75.87033333333333	3396170	47	MD-OBS1	47	22	3	16SJMY:16S:J:0020	PHW30	NA
4085848	FUELA	1	75.74833333333333	3229341	48	MD-OBS1	48	21	3	15WJMY:Dziev:0284	Mo17/PHW30-153 - (2n)-03	NA
